Potatoes,12,oz
Broccoli Florets,8,oz
Mozzarella Cheese,0.5,Cup
Panko Breadcrumbs,0.25,Cup
Italian Seasoning,1,TBSP
Chicken Cutlets,10,oz
Bacon,4,oz
Lemon,1,unit
Tomato,0.25,oz
Parsley,0.25,unit
