Jasmine Rice,0.5,Cup
Scallions,2,unit
Sweet Thai Chili Sauce,1,oz
Ponzu Sauce,12,ml
Sweet Soy Glaze,4,TBSP
Rice Wine Vinegar,5,tsp
Ground Pork,10,oz
Garlic Powder,1,tsp
Red Cabbage and Carrot Mix,1,cup
Crispy Fried Onions,4,oz
