Brussels Sprouts,8,oz
Carrots,9,oz
Garlic,1,Clove
Lemon,1,unit
Italian Seasoning,1,TBSP
Pork Chops,10,oz
Chicken Stock Concentrate,1,Cup
Cream Cheese,2,TBSP
Creme Fraiche,5,tsp
Balsamic Glaze,5,tsp
